Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Net Before Tariff
10.1279,VIDIO / Camera Cover ONLY for IXIO with PS Cable,EA,634.83,358.7,,,,338.4
10.1311,"ADAPTER BRACKET KIT, LZRWIDESCAN - TURNKEY",EA,26.97,15.07,,,,14.21
1012VAC,"Transformer,12 Volt AC",EA,26.97,15.07,,,,14.21
1024VAC,"Transformer,24 Volt AC,with Mounting Feet, 40va rating",EA,26.97,15.07,,,,14.21
10ACP12,Access Control Package 1 (10ACP12),EA,768.54,354.4,,,,334.34
10ACP12DS,Access Control Package 5 (10ACP12DS),EA,793.26,361.71,,,,341.24
10ACP12F,Access Control Package 2 (10ACP12F),EA,768.54,341.18,,,,321.87
10ACP12FDS,Access Control Package 6 (10ACP12FDS),EA,767.42,348.5,,,,328.77
10ACP6,Access Control Package 3 (10ACP6),EA,743.82,349.82,,,,330.02
10ACP6DS,Access Control Package 7 (10ACP6DS),EA,793.26,357.13,,,,336.92
10ACP6F,Access Control Package 4 (10ACP6F),EA,743.82,336.6,,,,317.55
10ACP6FDS,Access Control Package 8 (10ACP6FDS),EA,767.42,343.92,,,,324.45
10ACPBDA1,"10ACPBDA1 -- Switch, Delayed Action RED PTE 2"" Jamb",EA,489.89,172.62,,,,162.85
10ACPBDA10,"10ACPBDA10 -- Switch, Delayed Action GREEN PTE 2"" SG",EA,494.38,174.42,,,,164.55
10ACPBDA11,"10ACPBDA11 -- Switch, Delayed Action GREEN PTE 1 5/8"" Jamb",EA,489.89,172.62,,,,162.85
10ACPBDA12,"10ACPBDA12 -- Switch, Delayed Action GREEN PTE 1 5/8"" SG",EA,494.38,174.42,,,,164.55
10ACPBDA2,"Switch, Delayed Action RED PTE 2"" SINGLE GANG",EA,494.38,174.42,,,,164.55
10ACPBDA3,"10ACPBDA3 -- Switch, Delayed Action RED PTE 1 5/8"" Jamb",EA,489.89,172.62,,,,162.85
10ACPBDA4,"10ACPBDA4 -- Switch, Delayed Action RED PTE 1 5/8"" SG",EA,494.38,174.42,,,,164.55
10ACPBDA5,"10ACPBDA5 -- Switch, Delayed Action BLUE HC 2"" Jamb",EA,489.89,172.62,,,,162.85
