Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,A&M Part #
C00004.0000,PISTON ROD,EA,271.0,189.7,,,,
C00006.0000,GLAZING NOTICE,EA,3.3,2.31,,,,
C00007.0000,O RING 622722 .217,EA,9.6,6.72,,,,
C00007.000L,O RING IND 622729,EA,11.2,7.84,,,,
C00008.0000,NUT 1/4-20 THIN FLEXLK,EA,4.8,3.36,,,,
C00010.0000,O RING 622705,EA,6.3,4.41,,,,
C00010.000L,O RING IND 622707,EA,11.2,7.84,,,,
C00017.0000,BRACKET ADAPTER,EA,38.1,26.67,,,,
C00018.0000,ACCY BAG S4000 SL LOOSE OPER,EA,14.2,9.94,,,,
C00021.0000,NUT; 1/4-20; SERRATED FLANGE GRADE 5,EA,0.4,0.28,,,,
C00030.0000,MICROSW BZ 2RW80-A2,EA,74.8,52.36,,,,
C00033.0000,SOLENOID 24VAC W/BLACK LEADS PARKER # 71315SN1KVJ1N0L111B2,EA,459.0,321.3,,,,
C00035.0000,O RING 622701,EA,4.8,3.36,,,,
C00041.000R,VALVE BLOCK,EA,137.0,95.9,,,,
C00042.0001,SPEED ADJ SCREW ASSY,EA,15.3,10.71,,,,
C00043.0000,VALVE ACTUATOR ROD,EA,79.1,55.37,,,,
C00048.0000,DIODE 3.0A 1000V FAIRCHILD 1N5408,EA,7.9,5.53,,,,
C00049.0001,LACE TOGL PNEU SLID ASSY,EA,124.0,86.8,,,,
C00054.000R,TOG SW 11TS115-2 / 7546K38,EA,53.8,37.66,,,,C0054R
C00060.0000,NUT WIRE NUT YELLOW,EA,1.7,1.19,,,,
C00061.0000,TRANSFRMR W/GROUND WIR ASSY,EA,438.0,306.6,,,,
C00062.0000,BOLT 10X1/2 FHSMS 23PS,EA,1.7,1.19,,,,
C00070.0000,SCREW 4-40X1/2 BHMS,EA,1.7,1.19,,,,
C00071.0001,NUT; #4-40 KEPS,EA,1.7,1.19,,,,
C00080.0000,NUT 10-24 THIN FLEX LK,EA,1.7,1.19,,,,
C00101.0000,WASHER #6 INTERNAL LOK,EA,1.7,1.19,,,,
C00105.0001,WRAP 1/4 ALPHA SPIRAL PANDUIT T38F-TL,LF,6.3,4.41,,,,
C00114.0001,REED SWITCHMAGNETIC-SO PANEL GRI # PS-S410PWG-B,EA,48.6,34.02,,,,C0114-1
C00128.0000,SCREW 6X1/2 PH PL,EA,1.7,1.19,,,,
C00130.0000,BOLT 6-32X1/4 PH PL PS,EA,1.7,1.19,,,,
