Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Catalog Page
MA50200-*,Condor 2 Slide Control with Smart/Adaptor Harness,EACH,,502.0,Condor Slide,,Price range $502-540 depending on suffix,5
MA50200,Condor 2 Slide Control,EACH,,487.0,Condor Slide,,,5
MA50200-C*,Condor 2 Slide Control & Motor/Gearbox,EACH,,948.0,Condor Slide,,Price range $948-1233 depending on suffix,5
MA50200-C*E,Condor 2 Slide Control & MGB w/ FailSafe Electric Lock,EACH,,1233.0,Condor Slide,,Price range $1233-1519 depending on suffix,5
MA50200-C*U,Condor 2 Slide Control & MGB w/ FailSecure Electric Lock,EACH,,1233.0,Condor Slide,,Price range $1233-1519 depending on suffix,5
MA50100-M*,Condor Slide Motor/Gearbox,EACH,,502.0,Condor Slide,,Price range $502-644 depending on suffix,5
MA50100-M*E,Condor Slide MGB w/ FailSafe Electric Lock,EACH,,789.0,Condor Slide,,Price range $789-930 depending on suffix,5
MA50100-M*U,Condor Slide MGB w/ FailSecure Electric Lock,EACH,,789.0,Condor Slide,,Price range $789-930 depending on suffix,5
MA96991-900,"Replacement Motor/Gearbox, Dor-O-Matic/LCN AstroSlide, Works with OEM Control, New",EACH,,502.0,Condor Slide,,,5
MA5600-1,"Replacement Motor/Gearbox, Horton 2003 Belt Slider, Works with OEM Control, New",EACH,,502.0,Condor Slide,,,5
MA418054,"Replacement Motor/Gearbox, GyroTech 1100 Slider, Works with OEM Control, New",EACH,,502.0,Condor Slide,,,5
MA219528,"Replacement Motor/Gearbox, GyroTech 1175 Slider, Works with OEM U19 Control, New",EACH,,502.0,Condor Slide,,,5
MA313443,"Replacement Motor/Gearbox, Stanley DuraGlide, Works with Model J, MC521 & MC521 Pro Controls. ( NOT IQ ), New. INCLUDES ADAPTOR HARNESS FOR BOTH ENCODERS",EACH,,502.0,Condor Slide,,,5
MAC- (single*),Condor Swing Operator - Single (* see catalog for suffixes),EACH,,1398.0,Condor Swing · Operator,,,7
MAC- (pair*),Condor Swing Operator Pair (* see catalog for suffixes),EACH,,2612.0,Condor Swing · Operator,,,7
option <R>,Optional 3 Postion Rocker Switch (ref: MA40011),EACH,,44.0,Condor Swing · Operator,,,7
option <K>,Optional 3 Postion Key Switch (ref: MA40111),EACH,,58.0,Condor Swing · Operator,,,7
option <T>,Optional 2 Postion Rocker Switch (ref: MA20011),EACH,,44.0,Condor Swing · Operator,,,7
option <E>,Optional Push Arm Extension (ref: MA-EXT-KIT),EACH,,15.4,Condor Swing · Operator,,,7
option <B>,Optional Breakaway Switch (ref: MA-STOPS-BA),EACH,,34.5,Condor Swing · Operator,,,7
option <F>,Optional Fixed Stop (ref: MA-STOPS-FX),EACH,,19.9,Condor Swing · Operator,,,7
option <X>,Optional Extended Single (over 4 ft),FEET,,57.0,Condor Swing · Operator,,,7
option <N>,Optional Independent Pair (ref: MA50777T & MA-GND-ASM),EACH,,531.5,Condor Swing · Operator,,,7
option <1>,Optional Right Hand Double Egress Pair,EACH,,0.0,Condor Swing · Operator,,,7
option <2>,Optional Left Hand Double Egress Pair,EACH,,0.0,Condor Swing · Operator,,,7
option <P>,Optional Header Black End Plates/Caps Set (ref: MA-END-PLATES),EACH,,24.3,Condor Swing · Operator,,,7
option <W>,Optional Pull Arm Wood Door Screw Pack (ref: MA-PB-WOOD),EACH,,7.9,Condor Swing · Operator,,,7
option <Y>,Optional Pull Arm Fire Door Screw Pack (ref: MA-PB-FIRE),EACH,,7.9,Condor Swing · Operator,,,7
option <S>,"Optional OHC Spindle Location Moved from 3.75"" to 2.75""",EACH,,0.0,Condor Swing · Operator,,,7
option <Z>,Optional Balanced Door Spindle Location (single/pairs),EACH,,,Condor Swing · Operator,,Call for price,7
MA81000-901,"Swing, Motor/Gearbox, RH, 10 pin connector",EACH,,688.0,Condor Swing · Parts,,"Also listed at $345.00 (RBLT Swing, Motor/Gearbox, RH, 10 pin co)",8
MA81000-902,"Swing, Motor/Gearbox, LH, 10 pin connector",EACH,,688.0,Condor Swing · Parts,,"Also listed at $345.00 (RBLT Swing, Motor/Gearbox, LH, 10 pin co)",8
MA83000-901,"Swing, Low Force Motor/Gearbox, RH, 10 pin connector",EACH,,688.0,Condor Swing · Parts,,,8
MA83000-902,"Swing, LF Motor/Gearbox, LH, 10 pin connector",EACH,,688.0,Condor Swing · Parts,,,8
MA50777T-L,"CONDOR SWING CONTROL, LOW ENERGY, WITH MONITORING FEATURE.",EACH,,502.0,Condor Swing · Parts,,,8
MA50777T-H,"CONDOR SWING CONTROL, HIGH ENERGY, WITH MONITORING FEATURE.",EACH,,502.0,Condor Swing · Parts,,,8
MA-GND-ASM,Ground Bracket Assembly (with control harness),EACH,,29.5,Condor Swing · Parts,,,8
MA50778,"Swg slave Harness for MA50777 & MA506, 10 pin male to 10 pin female",EACH,,36.0,Condor Swing · Parts,,,8
MA81308,"Front 2-3/4 Motor/Gearbox Mounting Bracket for Condor Swing Operators. Also fits Dor-O- Matic/LCN Astro,Senior and Mid Operators.",EACH,,36.0,Condor Swing · Parts,,,8
MA81309,"Front 3-3/4 Motor/Gearbox Mounting Bracket for Condor Swing Operators. Also fits Dor-O- Matic/LCN Astro,Senior and Mid Operators.",EACH,,36.0,Condor Swing · Parts,,,8
MA-BRKT-ASM,"Rear Mounting Bracket Assembly (with ground strap) for Condor Swing Operators. Also fits Dor-O- Matic/LCN Astro,Senior and Mid Operators.",EACH,,36.0,Condor Swing · Parts,,,8
MA82040-CLR,"Swing Header End Bracket (L shaped) Kit, Clear for Condor Swing Operators. Also fits Dor-O- Matic/LCN Astro,Senior and Mid Operators.",EACH,,116.0,Condor Swing · Parts,,,8
MA82040-DBZ,"Swing Header End Bracket (L shaped) Kit, Dark Bronze for Condor Swing Operators. Also fits Dor- O-Matic/LCN Astro,Senior and Mid Operators.",EACH,,116.0,Condor Swing · Parts,,,8
MA-END-PLATES,"Condor Swg Hdr Dress End Plates, Blk Plastic,Replaces L-Brackets.5/32 thick.2 plates at 5/16 (0.312).Also fits Dor-O-Matic/LCN Astro, Senior and Mid Hdrs. New.",EACH,,24.3,Condor Swing · Parts,,,9
MA81306-CLR,"Header Flat End Plate for Condor Swing Operator - Clear Anodization. Also fits Dor-O-Matic/LCN Astro, Senior and Mid Operators. New.",EACH,,15.4,Condor Swing · Parts,,,9
MA81306-DBZ,"Header End Plate for Condor Swing Operator - Dark Bronze Anodization. Also fits Dor-O- Matic/LCN Astro, Senior and Mid Operators. New.",EACH,,15.4,Condor Swing · Parts,,,9
