Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes
49-H,Blue Face Plate WHEELCHAIR/PRESS TO OPERATE DOOR,EA,80.0,32.0,4 ½” Square Stainless Steel Switches,,
49-HSS,Stainless Steel Face Plate WHEELCHAIR/PRESS TO OPERATE DOOR,EA,80.0,32.0,4 ½” Square Stainless Steel Switches,,
49-P,Stainless Steel Face Plate PRESS TO OPERATE DOOR,EA,80.0,32.0,4 ½” Square Stainless Steel Switches,,
49-W,Blue Face Plate WHEELCHAIR,EA,80.0,32.0,4 ½” Square Stainless Steel Switches,,
49-WSS,Stainless Steel Face Plate WHEELCHAIR,EA,80.0,32.0,4 ½” Square Stainless Steel Switches,,
49-PLAIN,Stainless Steel Face Plate NO LEGEND,EA,80.0,32.0,4 ½” Square Stainless Steel Switches,,
-NY,Add New York style handicap logo to any switch series.,EA,80.0,32.0,4 ½” Square Stainless Steel Switches,,
59-H,Blue Face Plate WHEELCHAIR/PRESS TO OPERATE DOOR,EA,80.0,32.0,4 ½” Square Stainless Steel Switches,,
59-HSS,Stainless Steel Face Plate WHEELCHAIR/PRESS TO OPERATE DOOR,EA,80.0,32.0,4 ½” Square Stainless Steel Switches,,
59-P,Stainless Steel Face Plate PRESS TO OPERATE DOOR,EA,80.0,32.0,4 ½” Square Stainless Steel Switches,,
59-W,Blue Face Plate WHEELCHAIR,EA,80.0,32.0,4 ½” Square Stainless Steel Switches,,
59-WSS,Stainless Steel Face Plate WHEELCHAIR,EA,80.0,32.0,4 ½” Square Stainless Steel Switches,,
59-PLAIN,Stainless Steel Face Plate NO LEGEND,EA,80.0,32.0,4 ½” Square Stainless Steel Switches,,
59R4-H,Blue Face Plate WHEELCHAIR/PRESS TO OPERATE DOOR,EA,80.0,32.0,4 ½” Round Stainless Steel Switches,,
59R4-HSS,Stainless Steel Face Plate WHEELCHAIR/PRESS TO OPERATE DOOR,EA,80.0,32.0,4 ½” Round Stainless Steel Switches,,
59R4-P,Stainless Steel Face Plate PRESS TO OPERATE DOOR,EA,80.0,32.0,4 ½” Round Stainless Steel Switches,,
