Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Old Part #
A-00002,"ELECTRIC LOCK,FAIL SAFE,GT1100",EA,1582.0,791.0,,,,
A-00003,"SWITCH, PROXIMITY",EA,115.0,57.5,,,,11-8051
A-00008,"OPERATOR,PIN,MODIFIED",EA,48.0,24.0,,,,24-3169
A-00012,"BLOCK,PILLOW,MACHINED,MILL",EA,41.0,20.5,,,,14-5474-03
A-00021,"BRACKET,COME ALONG;MILL,MACHINED",EA,36.0,18.0,,,,14-12080
A-00029,"ASM, TOP PIVOT, 1175 SWING PANEL",EA,123.0,61.5,,,,21-9507
A-00032,"ASM,PIVOT,ALL GLASS-OBS 4 US SERVIC ONLY",EA,643.0,321.5,,,,21-5855
A-00042,"ASM, IDLER PULLEY",EA,113.0,56.5,,,,22-9210
A-00057,"BALL DETENT,ASSEMBLY",EA,75.0,37.5,,,,12-9082
A-00060,"LIMIT ARM,SWING PANEL,ASM,NARROW STILE",EA,75.0,37.5,,,,21-8160
A-00062,"ASM,ROLLER,GUIDE",EA,46.0,23.0,,,,14-9045-01
A-00069,"PANIC CATCH ASM,BOTTOM HALF,.090 WALL",EA,96.0,48.0,,,,21-3468
A-00071,"PANIC CATCH, UPPER,ASM.",EA,49.0,24.5,,,,12-14478
A-00078,"BELT,DRIVE,IDLER SPROCKET,TENSIONER",EA,50.0,25.0,,,,21-5990
A-00080,"BRACKET,RECESSED HANDLE MOUNT",EA,63.0,31.5,,,,14-3968
A-00087,"BUMPER,DOOR STOP",EA,37.0,18.5,,,,12-8233
A-00092,"ASM,CARRIER BAR,NARROW STILE",EA,99.0,49.5,,,,24-12002-10
A-00128,"DOOR STOP,ASM.",EA,69.0,34.5,,,,14-9079
A-00129,"ASM,AMPLIFIER,PHOTOEYE",EA,176.0,88.0,,,,11-14829
A-00143,REED SWITCH ASSEMBLY WIDE GAP,EA,43.0,21.5,,,,12-14490-10
A-00144,"ASM,REED SWITCH,N.O.,STD GAP,15"" LEADS",EA,43.0,21.5,,,,12-14490-52
A-00149,"ASM,MAGNET,BREAKOUT",EA,55.0,27.5,,,,11-9212
A-00162,"ROLLER, HANGER, ASSEMBLY, 1175",EA,65.0,32.5,,,,11-10733
A-00163,AXLE ASSEMBLY-ANTI RISE ROLLER,EA,96.0,48.0,,,,11-9037
A-00165,"ASM,CARRIER BAR,MEDIUM STILE",EA,91.0,45.5,,,,24-12002-20
A-00166,"STOP BLOCK ASSY, SWING PANEL LIMIT ARM",EA,48.0,24.0,,,,12-8259
A-00168,"ASM,CARRIER BAR,NARROW STILE,NARROW PANL",EA,126.0,63.0,,,,24-12002-30
A-00169,"ARM,LIMIT,NARROW STILE,NARROW PANEL",EA,43.0,21.5,,,,24-10068
A-00172,"ASM,CARRIER BAR,MEDIUM STILE,NARROW PANL",EA,100.0,50.0,,,,24-12002-40
A-00173,"ARM,LIMIT,MEDIUM STILE,NARROW PANEL",EA,45.0,22.5,,,,24-12056
A-00181,"BTM GUIDE DOUBLE ROLLER ASM, RH",EA,128.0,64.0,,,,21-9046-10
A-00183,"BTM GUIDE DOUBLE ROLLER ASM, LH",EA,128.0,64.0,,,,21-9046-20
