Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Model,Product Family,Division
A10031104,OA-FLEX-T — AIR Motion/Presence Sensor with BLUE ZONE (Self monitored),EA,640.0,224.0,Swing Door Safety,,,OA-FLEX-T,OA-FLEX T,OI ETR
C16000086,OA FLEX MOUNT — Mounting Kit for OA-Flex T,EA,95.0,33.25,Swing Door Safety,,,OA FLEX MOUNT,OA-Flex T Accessories,OI ETR
A10031577,"OA-EDGE1 T(34.5)B — DM Swing Safety Sensor 34.5"" & 1 Primary MDL (Self monitored)",EA,547.0,191.45,Swing Door Safety,,,OA-EDGE1 T(34.5)B,OA-Edge T,OI ETR
A10031579,"OA-EDGE2 T(34.5)B — DM Swing Safety Sensor 34.5"" & 1 Primary + 1 Secondary MDL (Self monitored)",EA,862.0,301.7,Swing Door Safety,,,OA-EDGE2 T(34.5)B,OA-Edge T,OI ETR
A10031578,"OA-EDGE1 T(44)B — DM Swing Safety Sensor 44"" & 1 Primary MDL (Self monitored)",EA,616.0,215.6,Swing Door Safety,,,OA-EDGE1 T(44)B,OA-Edge T,OI ETR
A10031580,"OA-EDGE2 T(40)B — DM Swing Safety Sensor 40"" & 1 Primary + 1 Secondary MDL (Self monitored)",EA,898.0,314.3,Swing Door Safety,,,OA-EDGE2 T(40)B,OA-Edge T,OI ETR
A10031581,"OA-EDGE2 T(44)B — DM Swing Safety Sensor 44"" & 1 Primary + 1 Secondary MDL (Self monitored)",EA,933.0,326.55,Swing Door Safety,,,OA-EDGE2 T(44)B,OA-Edge T,OI ETR
A10030860,OA-EDGE_LED — EDGE LED Module,EA,102.0,35.7,Swing Door Safety,,,OA-EDGE_LED,OA-Edge T Accessories,OI ETR
A10030899,PROFILE 1600 BL — EDGE Profile 1600 BL,EA,295.0,103.25,Swing Door Safety,,,PROFILE 1600 BL,OA-Edge T Accessories,OI ETR
A10088724,"ED_CAB_COM_10 — OA-EDGE 10"" Black Communication Cable",EA,103.0,36.05,Swing Door Safety,,,ED_CAB_COM_10,OA-Edge T Accessories,OI ETR
A10088725,"ED_CAB_COM_35 — OA-EDGE 35"" Black Communication Cable",EA,66.0,23.1,Swing Door Safety,,,ED_CAB_COM_35,OA-Edge T Accessories,OI ETR
A10088870,ED_PRT_WIN_44IN — OA-EDGE Window 44 inch,EA,116.0,40.6,Swing Door Safety,,,ED_PRT_WIN_44IN,OA-Edge T Accessories,OI ETR
A10088742,EDT_CAB_PWR — OA-EDGE T Power Cable,EA,119.0,41.65,Swing Door Safety,,,EDT_CAB_PWR,OA-Edge T Accessories,OI ETR
A10088737,"RH-E 1200 — Rain Hood For OA-EDGE Series (1200 mm, 47.2 inch)",EA,127.0,44.45,Swing Door Safety,,,RH-E 1200,OA-Edge T Accessories,OI ETR
A10031584,OA-EDGE T Primary Module — OA-EDGE T Primary module (old part number: A10030850),EA,451.0,157.85,Swing Door Safety,,,OA-EDGE T Primary Module,OA-Edge T Accessories,OI ETR
A10031585,OA-EDGE T Secondary Module — OA-EDGE T Secondary module (old part number: A10030851),EA,440.0,154.0,Swing Door Safety,,,OA-EDGE T Secondary Module,OA-Edge T Accessories,OI ETR
C16000069,ED_PRT_CAP_KIT — EDGE End Cap Kit,EA,9.0,3.15,Swing Door Safety,,,ED_PRT_CAP_KIT,OA-Edge T Accessories,OI ETR
A10088750,ED_CLIPS — Edge Clips,EA,44.0,15.4,Swing Door Safety,,,ED_CLIPS,OA-Edge T Accessories,OI ETR
A10031089,Pro-Swing Premier T — HM Swing Safety Sensor + Controler (Self monitored),EA,561.0,196.35,Swing Door Safety,,,Pro-Swing Premier T,Pro-Swing Premier T,OI ETR
C16000036,Premier Mount — Proswing Premier mounting bracket,EA,55.0,19.25,Swing Door Safety,,,Premier Mount,Pro-Swing Premier T Accessories,OI ETR
A10088603,"PR_CAB_COM_40"" — Premier Mk1& Mk2 40"" Black Cable",EA,124.0,43.4,Swing Door Safety,,,"PR_CAB_COM_40""",Pro-Swing Premier T Accessories,OI ETR
