Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,OEM
A113-0102-00,DC4000 POWER CLOSE CHIP,EACH,,74.75,DCM,,From sales quote SQ608002 (01/20/26),DCM
A113-0103-00,DC7000 POWER CLOSE CHIP,EACH,,74.75,DCM,,From sales quote SQ608002 (01/20/26),DCM
C4252-14A,"OUTSWING ARM, WASHER, SCREW, 14T CL",EACH,,207.74,HORTON,,From sales quote SQ608002 (01/20/26),HORTON
C5254-1,"CONNECTING ROD, WITH ROD, SHOES, HARDWARE",EACH,,242.94,HORTON,,From sales quote SQ608002 (01/20/26),HORTON
DC7000-LO,DC7000 LH OUT OPERATOR W/SHORT MOUNTING PLATE,EACH,,459.37,DCM,,From sales quote SQ608002 (01/20/26),DCM
DC7000-RO,DC7000 RH OUT OPERATOR W/SHORT MOUNTING PLATE,EACH,,459.37,DCM,,From sales quote SQ608002 (01/20/26),DCM
DC7000-1A-39.5,"DC7000 RH PUSH SINGLE CL, 39.5"" Header",EACH,,842.81,DCM,,From sales quote SQ608002 (01/20/26),DCM
DC7000-2A-39.5,"DC7000 LH PUSH SINGLE CL, 39.5"" Header",EACH,,842.81,DCM,,From sales quote SQ608002 (01/20/26),DCM
DC7000-C,DC7000 CONTROL EPROM 113-0102-01,EACH,,402.0,DCM,,From sales quote SQ608002 (01/20/26),DCM
DC4000-LHO,"DC4000 OPERATOR, LHO",EACH,,665.98,DCM,,From sales quote SQ608002 (01/20/26),DCM
DC4000-RHO,"DC4000 OPERATOR, RHO",EACH,,665.98,DCM,,From sales quote SQ608002 (01/20/26),DCM
DC4000-1A-39.5,"DC4000 RH PUSH SINGLE CL, 39.5"" HEADER",EACH,,1102.14,DCM,,From sales quote SQ608002 (01/20/26),DCM
DC4000-2A-39.5,"DC4000 LH PUSH SINGLE CL, 39.5"" HEADER",EACH,,1102.14,DCM,,From sales quote SQ608002 (01/20/26),DCM
