Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Used On,Suggested Resale,Link
20240016,"""S"" Hook",EA,0.4,0.2,"Used on 131, 275, BO-10, FM-10",,,"131, 275, BO-10, FM-10",0.3,
40010023,Bumper W/Washer Gry,EA,0.5,0.3,"Used on 131, BO-10, FM-10",,,"131, BO-10, FM-10",0.4,
20112141,Cable - Auto Latch (Solenoid),EA,6.6,3.3,"Used on 131, BO-10, FM-10",,,"131, BO-10, FM-10",5.3,
20112148,Cable - Beam Box (cut connecter for Super Scan),EA,24.0,12.0,"Used on 131, BO-10, FM-10",,,"131, BO-10, FM-10",18.0,
20112143,Cable - Eye (Waist High),EA,20.0,10.0,"Used on 131, 275, BO-10, FM-10",,,"131, 275, BO-10, FM-10",15.0,
20112147,Cable - Micro Switch Wiring Harness,EA,23.7,11.9,"Used on 131, BO-10, FM-10",,,"131, BO-10, FM-10",19.0,
20112144,Cable - Motor,EA,5.0,2.5,"Used on 131, BO-10, FM-10",,,"131, BO-10, FM-10",3.75,
20112142,Cable - Power,EA,40.0,20.0,"Used on 131, BO-10, FM-10",,,"131, BO-10, FM-10",30.0,
85153600,"Cable & Chain Assy BO-10, 131",EA,70.0,35.0,"Used on 131, BO-10",,,"131, BO-10",52.5,http://www.partstown.com/ready_access/rdy85153600
95150900,Cable Clamp -( Order 1 screw 10010026),EA,3.2,1.6,"Used on 131, BO-10, FM-10",,,"131, BO-10, FM-10",2.6,
95151001,Cable Clamp Bracket (Manual and Electric) order 2 screws 10010026,EA,8.0,4.0,"Used on 131, BO-10, FM-10",,,"131, BO-10, FM-10",6.0,
85163200,Clutch Assy 131M (Manual Arbor) ***NO MORE IN STOCK***,EA,139.0,69.0,Used on 131,,Discontinued / no stock,131,105.0,
85152700,"Clutch Assy BO-10, 131 ***NO MORE***",EA,,,"Used on 131, 275, BO-10",,Discontinued / no stock,"131, 275, BO-10",,
65152201,Cover - Motor- Brz,EA,32.0,16.0,"Used on 131, BO-10, FM-10",,,"131, BO-10, FM-10",24.0,
85005100,Cover BEA Sensor ***NO MORE***,EA,,,"Used on 131, 275, 600",,Discontinued / no stock,"131, 275, 600",,
85002001,DC3 - Universal Control Board,EA,475.0,238.0,"Used on 131, 275, 600, 606, BO-1, BO-10, BO-2, FM-10",,,"131, 275, 600, 606, BO-1, BO-10, BO-2, FM-10",361.0,http://www.partstown.com/ready_access/rdy85002001
85183601,Door 131-6-E Left - Bronze,EA,404.0,202.0,Used on 131,,,131,307.0,
85183603,Door 131-6-E Left - Clear,EA,404.0,202.0,Used on 131,,,131,307.0,
85183602,Door 131-6-E Right - Bronze,EA,404.0,202.0,Used on 131,,,131,307.0,
85183604,Door 131-6-E Right - Clear,EA,404.0,202.0,Used on 131,,,131,307.0,
85183501,Door 131-E Left - Bronze,EA,379.0,190.0,Used on 131,,,131,288.0,
