Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Addison Price,Door Controls Price,Best Source
102-019808221,"Transformer, 115V, Sliding, System 20",EACH,337.0,228.91,,,,,193.78,193.78
102-020808406,"CABLE, CANBUS, 8'2"" (2500mm) RIC290",EACH,79.0,53.66,,,,,,53.66075
102-020808415,"Electric Lock, VRR 20 Motorized",EACH,651.0,442.19,,,,,,442.19175
102-020808482,"Module, Expansion (FEM0)",EACH,1228.0,834.12,,,,,1129.76,834.119
102-020808513,"Mounting Set, VRR Lock Microswitch&Hardware",EACH,166.0,112.76,,,,,,112.7555
102-020808757,"Manual Unlock Handle, VRR 20 Emergency Exit",EACH,354.0,240.45,,,,,,240.45449999999997
102-020808805,"Harness, Encoder 1750mm",EACH,99.0,67.25,,,,,,67.24575
102-032136,"Wire Rope, 1.5mm",FT,7.0,4.75,,,,,,4.75475
102-032167,"Cable Sheath, 8mm VRR 20 Lock",FT,3.0,2.04,,,,,,2.03775
102-126049,"Push Arm Extension, 345mm, CL (S8100/S6100 Operator)",EACH,35.0,23.77,,,,,32.2,23.77375
102-126051,"Push Arm Extension, 230mm, CL (S8100/S6100 Operator)",EACH,35.0,23.77,,,,,,23.77375
102-126521,"Push Arm Extension, 230mm, DB (S8100/S6100 Operator)",EACH,35.0,23.77,,,,,,23.77375
102-126527,"Push Arm Extension, 345mm, DB (S8100/S6100 Operator)",EACH,35.0,23.77,,,,,,23.77375
102-127812723,"Battery Pack DFA 127 In 6"" Casing(header assy.)",EACH,1424.0,967.25,,,,,,967.252
102-127812724,Kit Battery Pack DFA 127,EACH,789.0,535.93,,,,,,535.9282499999999
102-127816013,"Adaptor, Drive Arm, 20mm, CL (S8100/S6100 Operator)",EACH,167.0,113.43,,,,131.0,153.64,113.43475
102-127816014,"Adaptor, Drive Arm, 35mm, CL (S8100/S6100 Operator)",EACH,176.0,119.55,,,,132.0,161.92,119.548
102-127816016,"Adaptor, Drive Arm, 50mm, CL (S8100/S6100 Operator)",EACH,167.0,113.43,,,,126.0,153.64,113.43475
102-127816017,"Adaptor, Drive Arm, 80mm, CL (S8100/S6100 Operator)",EACH,173.0,117.51,,,,130.0,159.16,117.51025
102-127816028,"Arm Assembly, Slide, Clear",EACH,1090.0,740.38,,,,464.1,1002.8,464.1
102-127816078,"Arm Assembly, Offset Slide, LH, Clear",EACH,1090.0,740.38,,,,722.5,1002.8,722.5
102-127816079,"Arm Assembly, Offset Slide, RH, Clear",EACH,1090.0,740.38,,,,,1002.8,740.3824999999999
102-127816085,"Adaptor, Drive Arm, 20mm, DB (S8100/S6100 Operator)",EACH,214.0,145.36,,,,,,145.3595
102-127816086,"Adaptor, Drive Arm, 35mm, DB (S8100/S6100 Operator)",EACH,214.0,145.36,,,,,196.88,145.3595
102-127816087,"Adaptor, Drive Arm, 50mm, DB (S8100/S6100 Operator)",EACH,214.0,145.36,,,,,196.88,145.3595
102-127816089,"Adaptor, Drive Arm, 80mm, DB (S8100/S6100 Operator)",EACH,214.0,145.36,,,,,,145.3595
102-127816110,"Arm Assembly, Slide, Dark Bronze",EACH,1094.0,743.1,,,,,629.05,629.05
102-127816111,"Arm Assembly, Offset Slide, LH, Dark Bronze",EACH,1094.0,743.1,,,,,,743.0994999999999
102-127816112,"Arm Assembly, Offset Slide, RH, Dark Bronze",EACH,1094.0,743.1,,,,697.0,,697
102-290808880,"Weather Shield,RIC290 Alu neutral anodized",EACH,410.0,278.49,,,,,235.75,235.75
102-401392,"RC-Swing MS1200BL Sensor OnDoor Presence, CANbus",EACH,1819.0,1235.56,,,,,,1235.55575
1025017,Push Side Doorstop Kit (HA7-100/HA7-200) **NON-STK**,EACH,58.0,39.4,,,,,,39.3965
102-902813766,Can Cable for WiDi L=180mm,EACH,71.0,48.23,,,,,,48.226749999999996
202-003118818,"Bracket, Belt Clasp, 17mm",EACH,96.0,65.21,,,,,,65.208
202-003118819,"Bracket, Belt Base, 21mm",EACH,100.0,67.92,,,,,,67.925
202-003118824,"Bracket, Drive Components Conversion Kit,Stanley,2000",EACH,590.0,400.76,,,,,,400.7575
202-003118839,"Plate, Spacer, Drive Component Conversion Kit, Stanley, 2000",EACH,126.0,85.59,,,,,,85.5855
202-003118840,"Bracket, Belt Clamp, Secondary Conversion Kit, Stanely, 2000",EACH,196.0,133.13,,,,,,133.133
202-003118841,"Bracket, Belt Clamp, Primary, Conversion Kit, Stanely, 2000",EACH,196.0,133.13,,,,,,133.133
202-003118845,"Set Screw, 1/2-20 x 1 inch Cup Point",EACH,17.0,11.55,,,,,,11.54725
202-003118853,"Square Nut, 3/8-16 x 5/8 inch",EACH,3.0,2.04,,,,,,2.03775
202-003118855,"Plate, Mounting,Elct. Comp. Conversion Kit, Stanely, 2000",EACH,311.0,211.25,,,,,,211.24675
202-003118872,"Extension Cable, Rx, M8, Male-Female, Gray",EACH,46.0,31.25,,,,,,31.2455
202-003118873,"Extension Cable, Tx, M8, Male-Female, Black",EACH,46.0,31.25,,,,,,31.2455
202-003119011,"All Glass Door Seal Channel, Clear",EACH,169.0,114.79,,,,,,114.79325
202-003119020,"Bracket, Ball Catch, Panic Modified, RH",EACH,18.0,12.23,,,,,,12.2265
202-003119267,"Dust Proof Keeper, CRL",EACH,67.0,45.51,,,,,61.64,45.509750000000004
202-003120592,"Wire Assembly, Ground Ring Tongue to Ring Tounge 36""",EACH,5.0,3.4,,,,,,3.3962499999999998
202-003120622,"Washer, 1in OD, 625in ID Rubber",EACH,1.0,0.68,,,,,,0.67925
202-003121062,"End Cap, Cover, 4.25 Header Automatic Series",EACH,127.0,86.26,,,,,,86.26474999999999
202-003121225,"Module, Extended FEM1",EACH,1561.0,1060.31,,,,,,1060.30925
202-003121449,"Sensor, Saftey, IXIO-ST, BEA **DROP SHIP**",EACH,346.0,235.02,,,,,,235.0205
202-003121688,"RIC290 Sensor, Ceiling Mount | Version **Drop Ship**",EACH,803.0,545.44,,,,,,545.43775
202-003121695,"Bracket, Header Mounting, LH 4.25 Low Pro Header",EACH,113.0,76.76,,,,,,76.75525
202-003121696,"Bracket, Header Mounting, RH 4.25 Low Pro Header",EACH,113.0,76.76,,,,,,76.75525
202-003121697,"Bracket, Cover Support 4.25 Low Pro Header",EACH,154.0,104.6,,,,,,104.6045
202-003121716,"Block, TBG, Heel Guide",EACH,289.0,196.3,,,,,,196.30325
202-003121744,"Bracket, Sidelite Strike Flushbolt",EACH,51.0,34.64,,,,,,34.641749999999995
202-003121745,"Connector, CAN End Plug",EACH,42.0,28.53,,,,29.75,,28.528499999999998
202-003121952,"Bracket, Belt Clamp, 5800",EACH,61.0,41.43,,,,,,41.43425
202-003122171,"Flushbolt, Two Way, MS880 Adams Rite 1880",EACH,960.0,652.08,,,,,,652.0799999999999
202-003122274,"Bracket, Electric Lock, VRR 20",EACH,126.0,85.59,,,,,,85.5855
202-003122353,"BEA Jamb Mounted Touchless Activation, 10MS41J",EACH,723.0,491.1,,,,,,491.09774999999996
202-003122382,"Bracket, VRR Cables",EACH,125.0,84.91,,,,,,84.90625
202-003122446,"Crimp, .0625Wire, .375long",EACH,2.0,1.36,,,,,,1.3585
202-003123555,"Bracket, UHEP Jamb, Front HDR",EACH,108.0,73.36,,,,,,73.359
202-003123556,"Bracket, UHEP Jamb, Back HDR",EACH,116.0,78.79,,,,,,78.793
202-003123564,"Bracket,Jamb Threshold Mount",EACH,19.0,12.91,,,,,,12.90575
202-003123633,"Spacer, 1.25 x 1 x .25, Al",EACH,4.0,2.72,,,,,,2.717
202-003123738,"Bumper Pad,Adhesive Back Cut-to-Length 2""",EACH,1.0,0.68,,,,,,0.67925
202-003124272,"Screw, 1/4-14 X 1/2"",Phillips, Pan, SMS, Type B, Zinc",EACH,5.0,3.4,,,,,,3.3962499999999998
202-003124834,"Kit, Vestibule Pkg 900 Push Plates, RF",EACH,1492.0,1013.44,,,,,,1013.441
202-003124835,"4.5"" BEA SQ SS Push Plate Package - 900 Mhz Wireless ""Push To Open"" EACH",EACH,844.0,573.29,,,,,,573.287
202-003125230-4,"Strip, Straight, Short, Brush and Holder, 4in",EACH,11.0,7.47,,,,,10.12,7.47175
202-003125233,"Dongle, i-record WiDi included",EACH,789.0,535.93,,,,,,535.9282499999999
202-003125413,"Mounting Tape, 3M VHB, | .5"" Wide",FT,6.0,4.08,,,,,,4.0755
202-003125484,"Bracket, Lock Strike, Standard",EACH,51.0,34.64,,,,,,34.641749999999995
202-003125517,"Bracket, Lock Strike, Telescope",EACH,62.0,42.11,,,,,92.0,42.1135
202-003128082,"BEA SS Single Gang Battery Powered MS51 ""Wave To Open"" Text & Han EACH",EACH,1218.0,827.33,,,,,,827.3265
202-003812205,"Motordrive-Plate Assembly System 20, with Brake",EACH,2901.0,1970.5,,,,,,1970.50425
202-003812218,"Kit, Conversion,Stanley 2000 Series, Locking (SN)",EACH,6575.0,4466.07,,,,,6049.28,4466.068749999999
202-003812265,PIN GUIDE ASSEMBLY 5200 FULL BREAKOUT SERIES,EACH,104.0,70.64,,,,,,70.64200000000001
202-003812714,"Kit, Conversion, Stanley, 2000 Series, Standard (SN)",EACH,5642.0,3832.33,,,,,5191.19,3832.3285
202-003813049,"Control Module, Display with Long Cable",EACH,829.0,563.1,,,,,,563.09825
202-003813999,"Bottom Guide, NBO, Floor Mounted",EACH,22.0,14.94,,,,,,14.9435
202-003814184,"Bottom Guide Ass'y, TBG Max Open, RH",EACH,303.0,205.81,,,,,,205.81275
202-003814185,"Bottom Guide Ass'y, TBG Max Open, LH",EACH,303.0,205.81,,,,,,205.81275
202-003814202,"Assy, Electric Lock, VRR 20, Motorized",EACH,1031.0,700.31,,,,,,700.30675
202-003814817,"Bracket,Flushbolt-Magnet& Switch Assembly",EACH,113.0,76.76,,,,,,76.75525
202-003814848,"Kit, UHEP Jamb, Back HDR",EACH,125.0,84.91,,,,,,84.90625
202-003814849,"Kit, UHEP Jamb, Front HDR",EACH,114.0,77.43,,,,,,77.4345
202-003814850,"Kit, Jamb, Threshold Mount",EACH,25.0,16.98,,,,,,16.98125
202-003815622,"Kit, ElectroMechanical Locking Device w/Override (5800)",EACH,1997.0,1356.46,,,,,,1356.4622499999998
202-003815662,"Seal Assembly,FBO All Glass Over 87""",EACH,400.0,271.7,,,,,,271.7
202-003815700,"Seal Assembly,FBO All Glass Under 87""",EACH,214.0,145.36,,,,,196.88,145.3595
202-003815706,"VRR 51 Lock, Electric, Fail Secure",EACH,894.0,607.25,,,,,,607.2495
202-003815707,"VRR 51 Lock, Electric, Fail Safe",EACH,894.0,607.25,,,,,,607.2495
202-003815735,"VRR 51 Lock Kit, Bi-part, Fail Safe",EACH,2026.0,1376.16,,,,1581.0,1863.92,1376.1605
202-003815736,"VRR 51 Lock Kit, Bi-part, Fail Secure",EACH,2026.0,1376.16,,,,1581.0,1863.92,1376.1605
202-003815737,"VRR 51 Lock Kit, Bi-Part, Fail Safe, Telescope",EACH,2026.0,1376.16,,,,,1863.92,1376.1605
202-003815738,"VRR 51 Lock Kit, Bi-part Fail Secure, Telescope",EACH,2026.0,1376.16,,,,,1863.92,1376.1605
202-003815747,"VRR 51 Lock, Electric, Fail Secure, Monitored",EACH,894.0,607.25,,,,,,607.2495
202-003815775,"Kit, Security Monitor Switch",EACH,22.0,14.94,,,,,,14.9435
202-003815978,"VRR 51 Lock, Electric, Fail Safe, Monitored",EACH,894.0,607.25,,,,,,607.2495
202-003816316,Transom Sag Rod Hardware Kit (Threaded Rod Sold Separately),EACH,270.0,183.4,,,,,,183.39749999999998
202-003816638,SA Floor Clip Kit,EACH,37.0,25.13,,,,,,25.13225
202-004119287CL,"Cover (5800), 4.25"" 24' Length",FT,35.0,23.77,,,,,,23.77375
202-004124191,"Strike, Positive Latch SS/CR",EACH,9.0,6.11,,,,,,6.11325
202-004126970,"Pin, Positive Latch (0.2 X 1.2 Long, 12-24 Threads",EACH,6.0,4.08,,,,,,4.0755
202-005118899,"BEA Bollard Mounting Post, Silver *DROPSHIP*",EACH,817.0,554.95,,,,,,554.94725
202-005118900,"BEA Bollard Mounting Post, Black *DROPSHIP*",EACH,817.0,554.95,,,,,,554.94725
202-005118901,"BEA Bollard Mounting Post, Dark Bronze *DROP SHIP*",EACH,817.0,554.95,,,,,,554.94725
202-005118905,"Touchless Activation MS11 ""SS"" Single""Wave to Open (OBSOLETE)",EACH,728.0,494.49,,,,,,494.49399999999997
202-005118906,"Touchless Activation,MS11,""SS"" Double""Wave to Open"" OBSOLETE",EACH,768.0,521.66,,,,,,521.664
202-005118907,BEA Black Single & Double Gang MS31 Text & Hand Logo,EACH,717.0,487.02,,,,,,487.02225
202-005118908,BEA Gray Single & Double Gang MS31 Text & Hand Logo,EACH,717.0,487.02,,,,,,487.02225
202-005118910,"Surface Mount Box,BEA for 4.5x4.5 Push Plates",EACH,79.0,53.66,,,,,,53.66075
