Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes
162460,Floor Expansion Joint Kit,EA,,20.7,XCLUDER PRODUCTS FOR FILLING HOLES AND GAPS,,
162706,"Fill Fabric Roll, 4"" x 10' (10.16cm x 3.04m)",EA,,23.3,XCLUDER PRODUCTS FOR FILLING HOLES AND GAPS,,
162707,"Fill Fabric Case, 4"" x 10' (10.16cm x 3.04m), 5 Rolls",EA,,116.3,XCLUDER PRODUCTS FOR FILLING HOLES AND GAPS,,
162715,"Blocks Case, 2"" x 2"" x 7.5"" (5.08cm x 5.08cm x 19.05cm), 72 Blocks",EA,,319.05,XCLUDER PRODUCTS FOR FILLING HOLES AND GAPS,,
162720,"Fabric Strips Case, 1"" x 4' (2.54cm x 1.22m), 36 Rolls",EA,,121.7,XCLUDER PRODUCTS FOR FILLING HOLES AND GAPS,,
162731,Fill Fabric Starter Kit (gloves and scissors included),EA,,29.8,XCLUDER PRODUCTS FOR FILLING HOLES AND GAPS,,
162800,"Wrap, Adhesive Back, 2"" x 10' (5.08cm x 3.04m), 2 Rolls",EA,,56.95,XCLUDER PRODUCTS FOR FILLING HOLES AND GAPS,,
162801,"Wrap, Adhesive Back, 4"" x 10' (10.16cm x 3.04m), 1 Roll",EA,,45.2,XCLUDER PRODUCTS FOR FILLING HOLES AND GAPS,,
162758A,"Fill Fabric Large DIY Kit 4"" x 5'",EA,,19.55,XCLUDER PRODUCTS FOR FILLING HOLES AND GAPS,,
162758FIT,"Fill Fabric Large DIY Kit w/FIT 4"" x 5'",EA,,22.3,XCLUDER PRODUCTS FOR FILLING HOLES AND GAPS,,
162423,"Bug Barrier 1"" x 4'",EA,,7.55,XCLUDER PRODUCTS FOR FILLING HOLES AND GAPS,,
162743,"3-Roll Box 4"" x 5' roll (3)",EA,,68.8,XCLUDER PRODUCTS FOR FILLING HOLES AND GAPS,,
162746,"6-Roll Box 4"" x 5' roll (6)",EA,,114.65,XCLUDER PRODUCTS FOR FILLING HOLES AND GAPS,,
162854,"Fill Fabric Roll 2"" x 50'",EA,,78.75,XCLUDER PRODUCTS FOR FILLING HOLES AND GAPS,,
162480-40,"WeepFill (3"" x 4"" sections) (40 pcs)",EA,,29.4,XCLUDER PRODUCTS FOR FILLING HOLES AND GAPS,,
162480-200,"WeepFill (3"" x 4"" sections) (200 pcs)",EA,,147.0,XCLUDER PRODUCTS FOR FILLING HOLES AND GAPS,,
XCL-12101036-AL,"Low-Profile Door Sweep, 36"" (.91m), Anodized Aluminum Finish",EA,,31.05,"Xcluder Low-Profile Door Sweeps for Gaps up to 1""",,
XCL-12101036-BR,"Low-Profile Door Sweep, 36"" (.91m), Anodized Bronze Finish",EA,,31.05,"Xcluder Low-Profile Door Sweeps for Gaps up to 1""",,
XCL-12102036-AL,"Low-Profile Door Sweep, 36"" (.91m), Anodized Aluminum Finish (2 pack)",EA,,55.85,"Xcluder Low-Profile Door Sweeps for Gaps up to 1""",,
XCL-12102036-BR,"Low-Profile Door Sweep, 36"" (.91m), Anodized Bronze Finish (2 pack)",EA,,55.85,"Xcluder Low-Profile Door Sweeps for Gaps up to 1""",,
XCL-12101045-AL,"Low-Profile Door Sweep, 45"" (1.14m), Anodized Aluminum Finish",EA,,33.1,"Xcluder Low-Profile Door Sweeps for Gaps up to 1""",,
XCL-12101045-BR,"Low-Profile Door Sweep, 45"" (1.14m)), Anodized Bronze Finish",EA,,33.1,"Xcluder Low-Profile Door Sweeps for Gaps up to 1""",,
XCL-12102045-AL,"Low-Profile Door Sweep, 45"" (1.14m), Anodized Aluminum Finish (2 pack)",EA,,62.85,"Xcluder Low-Profile Door Sweeps for Gaps up to 1""",,
XCL-12102045-BR,"Low-Profile Door Sweep, 45"" (1.14m), Anodized Bronze Finish (2 pack)",EA,,62.85,"Xcluder Low-Profile Door Sweeps for Gaps up to 1""",,
XCL-12101048-AL,"Low-Profile Door Sweep, 48"" (1.22m), Anodized Aluminum Finish",EA,,35.45,"Xcluder Low-Profile Door Sweeps for Gaps up to 1""",,
XCL-12101048-BR,"Low-Profile Door Sweep, 48"" (1.22m), Anodized Bronze Finish",EA,,35.45,"Xcluder Low-Profile Door Sweeps for Gaps up to 1""",,
XCL-12102048-AL,"Low-Profile Door Sweep, 48"" (1.22m), Anodized Aluminum Finish (2 pack)",EA,,63.8,"Xcluder Low-Profile Door Sweeps for Gaps up to 1""",,
XCL-12102048-BR,"Low-Profile Door Sweep, 48"" (1.22m), Anodized Bronze Finish (2 pack)",EA,,63.8,"Xcluder Low-Profile Door Sweeps for Gaps up to 1""",,
XCL-11101036-AL,"Standard Door Sweep, 36"" (.91m), Anodized Aluminum Finish",EA,,43.15,"Xcluder Standard Door Sweeps for Gaps up to 1.25""",,
XCL-11101036-BR,"Standard Door Sweep, 36"" (.91m), Anodized Bronze Finish",EA,,43.15,"Xcluder Standard Door Sweeps for Gaps up to 1.25""",,
XCL-11102036-AL,"Standard Door Sweep, 36"" (.91m), Anodized Aluminum Finish (2 pack)",EA,,77.65,"Xcluder Standard Door Sweeps for Gaps up to 1.25""",,
XCL-11102036-BR,"Standard Door Sweep, 36"" (.91m), Anodized Bronze Finish (2 pack)",EA,,77.65,"Xcluder Standard Door Sweeps for Gaps up to 1.25""",,
XCL-11101045-AL,"Standard Door Sweep, 45"" (1.14m), Anodized Aluminum Finish",EA,,46.2,"Xcluder Standard Door Sweeps for Gaps up to 1.25""",,
XCL-11101045-BR,"Standard Door Sweep, 45"" (1.14m), Anodized Bronze Finish",EA,,46.2,"Xcluder Standard Door Sweeps for Gaps up to 1.25""",,
XCL-11102045-AL,"Standard Door Sweep, 45"" (1.14m)), Anodized Aluminum Finish (2 pack)",EA,,87.8,"Xcluder Standard Door Sweeps for Gaps up to 1.25""",,
XCL-11102045-BR,"Standard Door Sweep, 45"" (1.14m), Anodized Bronze Finish (2 pack)",EA,,87.8,"Xcluder Standard Door Sweeps for Gaps up to 1.25""",,
XCL-11101048-AL,"Standard Door Sweep, 48"" (1.22m), Anodized Aluminum Finish",EA,,49.4,"Xcluder Standard Door Sweeps for Gaps up to 1.25""",,
XCL-11101048-BR,"Standard Door Sweep, 48"" (1.22m), Anodized Bronze Finish",EA,,49.4,"Xcluder Standard Door Sweeps for Gaps up to 1.25""",,
XCL-11102048-AL,"Standard Door Sweep, 48"" (1.22m), Anodized Aluminum Finish (2 pack)",EA,,88.95,"Xcluder Standard Door Sweeps for Gaps up to 1.25""",,
XCL-11102048-BR,"Standard Door Sweep, 48"" (1.22m), Anodized Bronze Finish (2 pack)",EA,,88.95,"Xcluder Standard Door Sweeps for Gaps up to 1.25""",,
XCL-15101036-AL,"Versa-Line Door Sweep & Cover Set, 36"" (.91m), Anodized Aluminum Finish",EA,,62.5,"Xcluder Versa-Line Door Sweeps for Gaps up to 1.75""",,
XCL-15101036-BR,"Versa-Line Door Sweep & Cover Set, 36"" (.91m), Anodized Bronze Finish",EA,,62.5,"Xcluder Versa-Line Door Sweeps for Gaps up to 1.75""",,
XCL-15101045-AL,"Versa-Line Door Sweep & Cover Set, 45"" (1.14m), Anodized Aluminum Finish",EA,,67.2,"Xcluder Versa-Line Door Sweeps for Gaps up to 1.75""",,
XCL-15101045-BR,"Versa-Line Door Sweep & Cover Set, 45"" (1.14m), Anodized Bronze Finish",EA,,67.2,"Xcluder Versa-Line Door Sweeps for Gaps up to 1.75""",,
XCL-15101048-AL,"Versa-Line Door Sweep & Cover Set, 48"" (1.22m), Anodized Aluminum Finish",EA,,75.3,"Xcluder Versa-Line Door Sweeps for Gaps up to 1.75""",,
XCL-15101048-BR,"Versa-Line Door Sweep & Cover Set, 48"" (1.22m), Anodized Bronze Finish",EA,,75.3,"Xcluder Versa-Line Door Sweeps for Gaps up to 1.75""",,
XCL-13101036-AL,"Versa-Line Door Sweep Only (No Cover), 36"" (.91m), Mill Finish",EA,,46.3,"Xcluder Versa-Line Door Sweeps for Gaps up to 1.75""",,
XCL-13101045-AL,"Versa-Line Door Sweep Only (No Cover), 45"" (1.14m), Mill Finish",EA,,50.4,"Xcluder Versa-Line Door Sweeps for Gaps up to 1.75""",,
XCL-13101048-AL,"Versa-Line Door Sweep Only (No Cover), 48"" (1.22m), Mill Finish",EA,,54.65,"Xcluder Versa-Line Door Sweeps for Gaps up to 1.75""",,
XCL-13101060-AL,"Versa-Line Door Sweep Only (No Cover), 60, Mill Finish",EA,,75.3,"Xcluder Versa-Line Door Sweeps for Gaps up to 1.75""",,
XCL-14101036-AL,"Replacement Versa-Line Cover, 36"" (.91m), Anodized Aluminum Finish",EA,,20.5,"Xcluder Versa-Line Door Sweeps for Gaps up to 1.75""",,
XCL-14101036-BR,"Replacement Versa-Line Cover, 36"" (.91m), Anodized Bronze Finish",EA,,20.5,"Xcluder Versa-Line Door Sweeps for Gaps up to 1.75""",,
XCL-14101045-AL,"Replacement Versa-Line Cover, 45"" (1.14m), Anodized Aluminum Finish",EA,,23.1,"Xcluder Versa-Line Door Sweeps for Gaps up to 1.75""",,
XCL-14101045-BR,"Replacement Versa-Line Cover, 45"" (1.14m) , Anodized Bronze Finish",EA,,23.1,"Xcluder Versa-Line Door Sweeps for Gaps up to 1.75""",,
