"vr_id","vendor_id","vr_productcode","vr_minqty","vr_maxqty","vr_price","vr_partno","vr_deactivate_until","lastmodified","lastmodby","_description","_list_price"
"","33","10.1279","1","","358.7000","10.1279","","2026-09-21 09:37:11","1","VIDIO / Camera Cover ONLY for IXIO with PS Cable","634.83"
"","33","10ACP12","1","","354.4000","10ACP12","","2026-09-21 09:37:11","1","Access Control Package 1 (10ACP12)","768.54"
"","33","10ACP12DS","1","","361.7100","10ACP12DS","","2026-09-21 09:37:11","1","Access Control Package 5 (10ACP12DS)","793.26"
"","33","10ACP12F","1","","341.1800","10ACP12F","","2026-09-21 09:37:11","1","Access Control Package 2 (10ACP12F)","768.54"
"","33","10ACP12FDS","1","","348.5000","10ACP12FDS","","2026-09-21 09:37:11","1","Access Control Package 6 (10ACP12FDS)","767.42"
"","33","10ACP6F","1","","336.6000","10ACP6F","","2026-09-21 09:37:11","1","Access Control Package 4 (10ACP6F)","743.82"
"","33","10ACP6FDS","1","","343.9200","10ACP6FDS","","2026-09-21 09:37:11","1","Access Control Package 8 (10ACP6FDS)","767.42"
"","33","10ACPBDA1","1","","172.6200","10ACPBDA1","","2026-09-21 09:37:11","1","10ACPBDA1 -- Switch, Delayed Action RED PTE 2"" Jamb","489.89"
"","33","10ACPBDA10","1","","174.4200","10ACPBDA10","","2026-09-21 09:37:11","1","10ACPBDA10 -- Switch, Delayed Action GREEN PTE 2"" SG","494.38"
"","33","10ACPBDA11","1","","172.6200","10ACPBDA11","","2026-09-21 09:37:11","1","10ACPBDA11 -- Switch, Delayed Action GREEN PTE 1 5/8"" Jamb","489.89"
"","33","10ACPBDA12","1","","174.4200","10ACPBDA12","","2026-09-21 09:37:11","1","10ACPBDA12 -- Switch, Delayed Action GREEN PTE 1 5/8"" SG","494.38"
"","33","10ACPBDA2","1","","174.4200","10ACPBDA2","","2026-09-21 09:37:11","1","Switch, Delayed Action RED PTE 2"" SINGLE GANG","494.38"
